Naturaleza del servicio;Población de referencia;Características demográficas;Total
Recibir o enviar correo electrónico;Total personas (75 y más años);75 a 84 años;24.2
Recibir o enviar correo electrónico;Total personas (75 y más años);85 y más años;6.0
Telefonear o realizar videollamadas a traves de internet;Total personas (75 y más años);75 a 84 años;29.6
Telefonear o realizar videollamadas a traves de internet;Total personas (75 y más años);85 y más años;9.8
Participar en redes sociales;Total personas (75 y más años);75 a 84 años;13.4
Participar en redes sociales;Total personas (75 y más años);85 y más años;2.8
Usar mensajeria instantánea;Total personas (75 y más años);75 a 84 años;45.1
Usar mensajeria instantánea;Total personas (75 y más años);85 y más años;12.4
Leer noticias, periódicos o revistas de actualidad online;Total personas (75 y más años);75 a 84 años;31.3
Leer noticias, periódicos o revistas de actualidad online;Total personas (75 y más años);85 y más años;9.8
Buscar información sobre temas de salud;Total personas (75 y más años);75 a 84 años;22.5
Buscar información sobre temas de salud;Total personas (75 y más años);85 y más años;7.8
Buscar información sobre bienes o servicios;Total personas (75 y más años);75 a 84 años;20.0
Buscar información sobre bienes o servicios;Total personas (75 y más años);85 y más años;4.6
Emitir opiniones sobre asuntos de tipo cívico o político en sitios web o en redes sociales;Total personas (75 y más años);75 a 84 años;4.4
Emitir opiniones sobre asuntos de tipo cívico o político en sitios web o en redes sociales;Total personas (75 y más años);85 y más años;0.3
Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Total personas (75 y más años);75 a 84 años;3.8
Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Total personas (75 y más años);85 y más años;0.3
Para buscar empleo o enviar una solicitud a un puesto de trabajo;Total personas (75 y más años);75 a 84 años;0.3
Para buscar empleo o enviar una solicitud a un puesto de trabajo;Total personas (75 y más años);85 y más años;0.0
Realizar algún curso on-line;Total personas (75 y más años);75 a 84 años;2.3
Realizar algún curso on-line;Total personas (75 y más años);85 y más años;1.0
Utilizar material de aprendizaje on-line que no sea un curso completo on-line;Total personas (75 y más años);75 a 84 años;4.5
Utilizar material de aprendizaje on-line que no sea un curso completo on-line;Total personas (75 y más años);85 y más años;0.7
Comunicar con educadores o estudiantes mediante herramientas de audio o vídeo;Total personas (75 y más años);75 a 84 años;1.9
Comunicar con educadores o estudiantes mediante herramientas de audio o vídeo;Total personas (75 y más años);85 y más años;0.5
Vender bienes o servicios a través de un sitio web o app;Total personas (75 y más años);75 a 84 años;2.9
Vender bienes o servicios a través de un sitio web o app;Total personas (75 y más años);85 y más años;0.3
Utilizar banca  por internet (incl. banca móvil);Total personas (75 y más años);75 a 84 años;22.6
Utilizar banca  por internet (incl. banca móvil);Total personas (75 y más años);85 y más años;3.9
